Marca temporal,Escribe tu historia: ,Crea un #hashtag o título para tu historia:,La historia que contaste te generó una sensación de:  ,Tu historia sucede:,Mientras escribiste la historia sentiste que:,Tu historia esta relacionada con: ,La historia que relataste involucra a:,"En el siguiente conjunto de preguntas haz clic en el número 1) si la característica ubicada a la izquierda es la que más se acerca a tus preferencias, en 2) si para ti está bien tanto la característica de la derecha como la de la izquierda y en 3) si prefieres la característica de la derecha. Empecemos... Al hacer un trabajo prefieres realizarlo:",El proceso de aprendizaje tiene mejores resultados para ti cuando sucede: ,Es más relevante para ti aprender cosas que tengan importancia para:,¿Qué grado estás cursando? ,¿Cuántos años tienes?,Eres:,Vives con... (puedes marcar más de una opción) ,Institución Educativa 
10/2/2019 10:48:56,"Era un dia donde estaban varias personas haciendo retos, y a una chisca le dijeron que tenia que que basar a el chisco que le gustaba, la chica no lo hizo y las otras niñas le enpesaron hacer bullying, la chica cada dia esa preocupada por esa situacion eso le pasaba todo los dias y eso paso aproximadamente una año entero. despues que pasaron de año la chica ya estaba super cansada y le conto a su madre.y despues areglaron todo pero las niñas todavia no entendian la leccion y siguio pasando pero con otras personas.",la chica del reto ,Angustia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Bullying,Tus compañeros,2,3,3,5,11,Mujer,"Papá, Mamá",Escuela Normal Superior Antioquena
10/2/2019 10:49:50,"recuerdo las veces que el tiempo me robaba sonrisas,lo grandioso que era correr por los patios del colegio y meterme en un mundo de fantasía y lleno de felicidad.",mi mundo de fantasía  .,No estás seguro,Muy rara vez,Te dio curiosidad e inventaste una historia,Ninguna de las anteriores,Tus compañeros,1,1,3,9,15,Mujer,Otros familiares,Escuela Normal Superior Antioquena
10/2/2019 10:50:30,una vez  estamos en el colegio  y salimos al descanso a tomar  la lonchera y fuimos al salon a trabajar y hacer las tareas ,y salieron a los descansos,Felicidad,Todo el tiempo,Te confundiste y no sabías que contar,Convivencia,A ti,2,3,1,5,12,Mujer,"Papá, Mamá, Abuela, Abuelo",Escuela Normal Superior Antioquena
10/2/2019 10:50:50,"abia una ves que un niño que estudia en un colegio llamado ensa y el niño se iba a un lugar llamado patio de san jose y ay pasaban cosas muy extrañas le estatua chorreaba por los ojos, se veian monjas desaparesian cosas y se ben animales malbados el niño era el unico que se atrevia a entrar asta que lo atraparon todos sus amiguos se preocupaban asta que fueron a buscarlo y fueron desaparesiendo uno por uno fin",el terror normalistico,No estás seguro,Muy rara vez,Te dio curiosidad e inventaste una historia,terror,A ti,3,1,3,5,10,Hombre,"Papá, Mamá, Abuela",Escuela Normal Superior Antioquena
10/2/2019 10:51:40,me gusta mucho el metodo de enseñansa en la ENSA porque es en equipos y eso ayuda a relacionarse con otras personas y conoser como una persona realmente es ademas se pueden ayudar uno a otros y sulucionar sus dudas con el compañero ademas ayuda a fortaleser el trabajo en equipo,trabajo en equipo,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus compañeros,2,1,1,5,11,Mujer,"Papá, Mamá, Abuela, Abuelo, Otros familiares",Escuela Normal Superior Antioquena
10/2/2019 10:52:03,"un día como cualquier otro , mis papas decidieron cambiarme de colegio,luego de que vieran varias opciones,decidieron a la entrarme a la ESCUELA NORMAL SUPERIOR ANTIOQUEÑA , mas conocida como la ENSA ,Cuando yo llegue mis compañeros del grado tercero de primaria me acogieron mucho y yo me pregunte ,¿por que me tratan tan bien si apenas llegue?, como no dejaba de dudar le preguntarle a una maestra y elle me dijo que ,""te tratan así por que aquí en la ENSA practicamos siempre la acogida"".yo le agradecí y me marche .Al día siguiente yo tambien siempre practicaba la acogida, dejar de ser tan tímida , y mis compañeros me prometieron que siempre me iban a acoger y lo cumplieron por que  lo siguen haciendo.",la ENSA cambia vidas por medio de la acogida,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Convivencia,Tus compañeros,3,1,3,5,11,Mujer,"Papá, Mamá, Abuela",Escuela Normal Superior Antioquena
10/2/2019 10:53:35,"EN MI ENSA CADA DIA SE PUEDE VIVIR EN ARMONIA Y ACOGIDA PORQUE 
TODAS LAS PERSONAS QUE HABITAN AQUI HACEN QUE ENTRE TODOS SE SIENTAN BIEN PORQUE EN LAS MAÑANAS NOS RECIBEN CON UNA SONRISA Y UN BUNOS DIAS EMPLEADOS, MAESTROS Y COMPAÑEROS. EN LA ENSA SE VIVE EN FAMILIA. ME GUSTA CUANDO HACEMOS LOS BAILES PORQUE ASI COMPARTIMOS ,APRENDEMOS Y MOSTRAMOS EL TALENTO Y LA CULTURA .",EN LA ENSA SE VIVIE EN FAMILIA,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,CONVIVIENCIA TRABAJO EN EQUIPO,Tus compañeros,3,2,3,10,16,Mujer,"Mamá, Hermanos, Otros familiares",Escuela Normal Superior Antioquena
10/2/2019 10:53:43,"diariamente los estudiantes son desmotivados por comentarios que hacen los maestros y las mismas estudiantes, tal vez algunos estudiantes se desaniman por la notas que pueden recibir, pienso que si en verdad alguien se esfuerza en hacer algo pues  deberían de tener en cuenta que una persona no se destaca o se define por las notas, pienso que el colegio es algo mas que no sirve para nuestra información de vida, la vida real esta afuera y pues no nos preparan lo suficiente ",desmotivacion diaria ,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tus compañeros,2,2,3,10,16,Mujer,"Mamá, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 10:53:58,"Me desmotiva la mala actitud de algunos profesores con los estudiantes, lo mal e inùtiles que nos hacen sentir con sus comentarios, las malas explicaciones que a veces dan y que la nueva encargada del colegio no respete las tradiciones institucionales.",#noaguantomàs,Rabia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,La mala enseñanza,Tus docentes,2,1,3,10,15,Mujer,"Papá, Mamá, Abuela, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 10:54:54,"lo que mas me motiva para ir al colegio es poder obtener mas conocimiento, y poder formarme como persona o profesional, para tener un futuro donde mi mama este orgullosa de mi y lo que me desmotiva es que nos pongan tantos trabajos, realizar parciales o exámenes.
Aunque si lo pusiera todo de mi creo que no me desmotivaría tanto y obtendría mayor conocimiento del que ya obtengo  ",#estudia por un futuro mejor,No estás seguro,De vez en cuando,Te dio curiosidad e inventaste una historia,Evaluación,A ti,2,1,2,10,15,Mujer,Mamá,Escuela Normal Superior Antioquena
10/2/2019 10:55:05,"Cada día me despierto con la alegría de encontrarme con mis amigas en el colegio, ellas me impulsan a ser cada ves mejor persona. Cuando entro me noto algo indiferente ante mis compañeras de estudio, pero esto es porque mi personalidad es algo tímida; pero cuando me encuentro con mis amigas me lleno de felicidad y compartimos muchas experiencias  bonitas, y esas pequeñas cosas hacen que mi día sea mas placentero.",Amigas,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Convivencia,Tus compañeros,1,2,2,10,16,Mujer,"Papá, Mamá, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 10:56:05,"me motiva ver a mis amigas, estar con ellas y poder pasar el rato agradable
me desmotiva los trabajos,parciales tareas todos los días  y salir tan tarde del colegio ",la monotonía ,Angustia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Ocio y tiempo libre,Tus compañeros,3,1,3,10,15,Mujer,"Mamá, Abuela, Hermanos, Otros familiares",Escuela Normal Superior Antioquena
10/2/2019 10:56:13,Me motiva venir al colegio el saber que me voy a graduar pronto y podre empezar mi carrera universitaria para ser una profesional teniendo amplios conocimientos e independizarme ,#motivada ,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Mi futuro ,A ti,2,1,2,10,17,Mujer,"Papá, Mamá, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 10:57:12,"Lo que mas me motiva para venir al colegio es mi familia,maestros compañeros etc, ya que son los que me transmiten conocimientos que me van ayudando día a día a ir formando lo que quiero mostrar mas adelante y lo que quiero ser en un futuro",mi motivación,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Convivencia,Tu familia y/o cuidadores,1,1,1,10,15,Mujer,Otros familiares,Escuela Normal Superior Antioquena
10/2/2019 10:58:29,"un día estaba en clase pero sucedió algo , pues el maestr@ presente no era muy formal con mis compañeras y conmigo , quisimos hablar con este pero también era un poco groser@ a la hora de hacer esto, dejamos el tema así y cada día llegamos con ganas de que el maestr@ responda bien a nuestras preguntas y a la hora de decirnos algo su tono no sea tan fuerte ",la clase ,Rabia,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tus docentes,3,2,2,10,16,Mujer,"Mamá, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 10:59:10,"La escuela empieza a desmotivar cuando uno se esfuerza y los maestros no lo notan, cuando en vez de animar la familia critica lo mal que uno va, cuando nunca ven ni las notas buenas, ni los trabajos creativos, la escuela aburre y desmotiva cuando dicen que no trabajemos por una nota pero las opiniones personales que son subjetivas las califican con la propia manera de pensar del maestro, cuando los maestros le dan oportunidades a las buenas estudiantes y a las malas no les dan las mismas, cuando los maestros solo se preocupan por lo académico y no saben la razón o el porque ni mucho menos les interesa el bienestar del alumno realmente.",la desmotivacion que provoca la escuela,Rabia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tus docentes,3,2,3,10,15,Mujer,"Papá, Mamá",Escuela Normal Superior Antioquena
10/2/2019 10:59:34,"En la escuela se aprende, se crece y se divierte, es un espacio que fortalece al desarrollo personal y al proyecto de vida. Lo mejor de el colegio, indudablemente son las personas que están en él, son las que le dan animo y emoción a los días, la relación en mi colegio con las personas es maravillosa, nos caracterizamos por ser comunidad de acogida y siempre tener presente el amar y respetar al otro.",#Amominormal,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Convivencia,Tus compañeros,2,1,2,10,15,Mujer,"Papá, Mamá",Escuela Normal Superior Antioquena
10/2/2019 10:59:47,"Desde que era muy pequeña, en la institución se realizaban diferentes tipos de muestras artísticas  y proyectos que potenciaban al máximo nuestras capacidades, debido a esto, el colegio ha sido reconocido como una institución no solo formadora de maestros, sino también de artistas. Lamentablemente, de un tiempo para acá (este año) la institución le ha arrebatado la oportunidad a sus estudiantes de expresar su calidad artística, quitando los extracurriculares y cada uno de los actos en los que se resaltaba dicha cualidad ``el ser libre de pensar``, considero que ha sido un despojo total de lo que se ha venido haciendo tradicionalmente y han cultivado en cada estudiante un sentimiento de frustración y desilusión que acaba con cada una de las motivaciopnes para venir a estudiar.",#respetemoslatradicion ,Tristeza,Todo el tiempo,Te confundiste y no sabías que contar,Convivencia,Tus docentes,1,3,3,10,16,Mujer,"Mamá, Abuelo, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 10:59:52,"cuando se escucha el ''gallo'' cantar y la neblina en la montaña no se va aun,el frío de la mañana mi impulsa seguir en la cama bajo en fuerte de almohadas y cobijas,donde en mis sueños puedo estar con aquellos seres que me inspiran y me motivan a seguir.....pero tarde o temprano tengo que despertar e ir al mundo real con sus afanes y presiones y aunque no conozcamos lo que la angustia de la vida adulta aun siendo adolescente yo tengo mis propios temores que me atormenta cada dia y me susurran al oido que no soy suficiente y que no sirvo, que soy un fraco... esos mismos demonios  me acompañan al colegio en donde bajo una sonrisa y unas cuantas risas escondo mis miedos e inseguridades, no me malinterpreten en colegio es una gran lugar y donde muchas veces me sacan una sonrisa sincera, donde las personas son amables y siempre están dispuestas a ayudarte y siempre de saludad con una sonrisa y un ''buenos días'', los maestros y estudiantes son la mejor parte y aunque decimo sea muy difícil y este matando mis 4 neuronas en esto estoy feliz por haber llegado aquí , y en casa no pasa nada es una familia feliz y llena de amor  donde siempre me apoyan en lo que necesite...pero todo esto no quita el hecho de que por las noches no pueda dormir preguntándome si en verdad si la estoy dando toda y si me merezco están en donde estoy ahora, no se preocupen el colegio me enseño que sin importar la dificultades siempre debo enfrentar la vida con una sonrisa  ",#llavidaconunasonrisa,Angustia,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,A ti,2,2,2,10,16,Mujer,"Papá, Mamá, Abuela, Otros familiares",I.E. Altavista
10/2/2019 10:59:57,"desde pequeña   nunca olvidares esos momentos juegos ,risas,alegría, pero detrás desde esas alegría vivió en el colegio siempre habrá algo detrás se cuenta en la ensa primero era una cáncer y que   , hubo muchas muerte y que los enteraban aquí  luego que se volvió un orfanato nunca supe si eso era verdad", doble cara de la historia,No estás seguro,Muy rara vez,Te confundiste y no sabías que contar,Ninguna de las anteriores,Tus compañeros,3,2,3,10,16,Mujer,"Papá, Mamá, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 11:01:09,Me desmotiva el hecho de pensar que lo que se conocía como tradición en la normal se este perdiendo. ,#tradiciónENSA,Tristeza,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Historia Institucional ,Tus compañeros,2,1,3,10,16,Mujer,"Papá, Mamá",Escuela Normal Superior Antioquena
10/2/2019 11:01:31,"Es desmotivante el hecho de que actualmente los maestros se enfoquen solamente en formar individuos sobresalientes académicamente y no formar seres humanos íntegros, que encuentren en la institución un apoyo para desarrollar todas sus habilidades y destrezas.
Además de el poder ver en los maestros seres humanos dispuestos a guiarnos en todo momento y no solo en el aula de clase.
Porque al final del día una nota es un número y nada más!!!",#másapoyo,Tristeza,Todo el tiempo,Te confundiste y no sabías que contar,Convivencia,Tus docentes,2,3,3,10,15,Mujer,"Papá, Mamá",Escuela Normal Superior Antioquena
10/2/2019 11:01:50,"Es triste llegar al colegio cada día sin la motivación necesaria para hacer cada cosa. Algunos maestros no logran ver el esfuerzo y empeño que uno le pone a cada cosa que hace. No todos tenemos las mismas capacidades, a algunos nos va mejor en otras cosas. Lo importante no es ser el mas inteligente, tampoco sacar la mejores notas, lo que importa es ser personas integras capaces de transformar el entorno en el que nos encontramos, ayudar a los que necesitamos y no pasar por encima de nadie.
Una nota no define lo que eres. 
Por otro lado, es agotador que nos eduquen como maquinas que memoricen cada cosa que les sea enseñada, la educación debería ser en base a nuestros gustos y destrezas para que podamos descubrir lo que no hace felices y poder sobresalir en el medio.",#masapoyoalosestudiantes,Tristeza,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Sistema educativo y falta de apoyo,Tus docentes,2,2,3,10,16,Mujer,"Mamá, Abuelo, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 11:02:34,pues siempre estoy en el colegio todos los días de la semana siempre salgo en los descansos con mis amigas despùes de que se acabe la jornada voy a mi casa después hago toda la rutina me acuesto a dormir  y me levanto por la mañana y despues de que se acabe la jornada voy o traves  a mi casa hacer la misma rutina una y otra vez,la rutina de la mañana,No estás seguro,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tu familia y/o cuidadores,2,2,1,10,17,Mujer,"Mamá, Abuela",Escuela Normal Superior Antioquena
10/2/2019 11:03:38,"los estudiantes por los regular nos desmotivamos por que hay maestros que hacen muy difícil la experiencia estudiantil, por que nos hacen sentir menos y muchas veces toman su poder y lo usan en nuestra contra, hay maestros que no sirven para serlo (y no digo que todos no sirvan sino que en la institución hay unos cuantos que no sirven y como dicen los maestros por uno pagan todos), ya que no tiene la paciencia suficiente para ayudarnos y motivarnos a seguir. No es algo muy bueno que los estudiantes lloren y se ataquen de tareas, por que la idea es aprender no frustrarnos.
Otra de las cosas es que nos han quitado nuestras tradiciones.   ",#mejorar ,No estás seguro,Todo el tiempo,Te confundiste y no sabías que contar,Ninguna de las anteriores,Tus docentes,3,1,3,10,16,Mujer,"Papá, Mamá, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 11:03:39,"Aby es una chica que tiene 16 años y cursa décimo grado en un colegio en el cual la educación está muy mal planteada. Ella se oprime constantemente porque los maestros desde pequeña le han metido en la cabeza un ‘’Debes sacar un 5.0, para poder pasar el año’’, dejando de un lado todas aquellas capacidades que se le facilitan más a ella. Aby es reconocida en su colegio por su pasión hacia el arte y la música ya que sabe tocar varios instrumentos y es una chica demasiado creativa; Todas las noches ella sueña con poder cambiar eso y que la impotencia de sentirse tonta cambie algún día cuando los maestros y personales directivos se den cuenta que nadie nace lo suficientemente malo para estudiar, sino que nos implementaron una educación en la cual se nos quitaron las ganas de aprender. Todos somos buenos, pero no en todo; Merecemos un mejor reconocimiento para así no seguir convirtiendo las ganas de aprender en ganas de llorar.",#TodosSomosBuenos,Rabia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Educación mal implementada ,Tus compañeros,1,2,3,10,16,Mujer,"Papá, Mamá, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 11:03:51,"Pasaba un día más en el colegio, ya estaba cansada, habían muchas materias en las cuales no entendía nada, no era capaz de sacar buenas notas por más que lo intentara. Una vez, los maestros se cansaron de explicarme, de lidiar conmigo y darme oportunidades, citaron a mi mamá, yo pensaba que ella me iba a regañar, pero me defendió y resaltó que no todas las personas somos buenas para lo mismo. Por lo tanto, el sistema educativo no puede calificarnos a todos por igual si somos tan diferentes. No somos buenos o malos, nos desarrollamos a nuestro tiempo y capacidad.
Además, luego de pensarlo, llegué a la conclusión de que en mi institución nos estaban sobre valorando, nos irrespetaban y nos trataban de ""bobas"" o ""brutas"", no nos pueden exigir respeto por los demás cuando no nos dan respeto",Mi manera de aprender.,Rabia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Evaluación,Tus docentes,1,1,3,10,15,Mujer,"Mamá, Abuela, Abuelo, Otros familiares",Escuela Normal Superior Antioquena
10/2/2019 11:03:58,"En la normal hay infinidad de maestros buenos en cada área académica, el problema que encuentro es que hay maestros que se fijan mucho en si te va bien en todo y NO en las que hacen el mayor esfuerzo por entender y aunque les salga mal y hicieron su mayor intento, pero veo que esto no es suficiente porque siempre se fijan en la que les va bien academicamente.A lo que voy con esta historia es que miren el esfuerzo que cada estudiante hace por comprender un tema o por hacer un ejercicio matemático que todo esto vale y que no miren a las estudiantes por si les va bien o mal el hecho es que todas podamos quedar con algo, no?",El esfuerzo no valorado,Tristeza,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Ninguna de las anteriores,Tus docentes,2,2,3,10,16,Mujer,"Papá, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 11:04:07,"pasando la tarde en mi casa pensaba en todo lo que puede suceder en un día habitual de clase, como hay maestros que nos pueden hacer sentir como las personas mas bobas, como otros que te motivan hacer cada día  mejor, esos sucesos que suelen pasar en colegio quizás el que se vaya a contar a continuación no sea el mejor,como puede ocurrir en una institución educativa que forma en valores y respeto haya maestros que te falten al respeto con comentarios inapropiados y que no te hagan sentir en un ambiente agradable .",¿como nos educan?,Angustia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,trato de maestro alumno ,Tus docentes,2,1,3,10,16,Mujer,"Mamá, Hermanos, Otros familiares",Escuela Normal Superior Antioquena
10/2/2019 11:06:23,"Una de las cosas más bonitas que me ha pasado gracias a mi colegio, el grupo musical.
Todo comenzó el año pasado, cuando en las actividades extracurriculares de la institución se abriendo las ""Clases de guitarra"". Realmente a mi no me interesaba mucho aprender dicho instrumento, ya que estaba más interesada en el piano, pero no tuve la oportunidad de entrar a tutorías, por lo que decidí entrar a esta extracurricular. 
Casi todos los martes iba a esas clases, donde aprendí bastante, con un muy buen maestro, y seguí aprendiendo por mi misma las canciones que me gustaban.
A principios de este año, una amiga me presentó con al maestro del grupo musical, donde audicioné para entrar, y lo hice. Ahora estoy aquí, donde no solo he mejorado mis conocimientos sobre la guitarra, sino también que las agrupaciones musicales, así como cualquier otro conjunto, necesita de cada uno, aprender a ser una familia, a compartir momentos únicos y disfrutar.
Para mi este grupo es mi manera de expresarme, de liberarme, de no aburrirme y compartir experiencias únicas que me enriquecen desde el ser y el saber, lo agradezco mucho.",#Musica #Grupomusical #Guitarra,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,A ti,2,3,3,10,15,Mujer,"Papá, Mamá, Hermanos, Otros familiares",Escuela Normal Superior Antioquena
10/2/2019 11:06:28,"Algo que me desmotiva a ir al colegio es trabajar en equipo todo el tiempo, siento que desde que se habilitó el nuevo sistema de equipos cooperativos no he aprendido todo lo que he deseado. Es bueno saber como trabajar dentro de un colectivo satisfactoriamente, pero si se hace de manera excesiva; como se ha estado haciendo, es cansado y molesto. Constantemente se generan conflictos. Ademas, en estos equipos se perjudica la equidad en los trabajos, siempre alguna persona terminara con mas tareas que el resto y por miedo o pena no se le dice nada al maestro director de este sobrecargo. Desearía poder luchar por mi academia sin tener que cargar unos integrantes en mi equipo.
En la media los trabajos en equipos, aunque disminuyeron, aún siguen siendo excesivos. Los proyectos de estos equipos nos llenan de trabajo estresante y poco enriquecedor en la preparación para la universidad. Y aunque estos equipos se escogieran al gusto del estudiante aún estos problemas existen. Han habido periodos enteros en los que gracias a los proyectos no hemos avanzado ni un solo tema.",El fallo de los trabajos en equipo,Rabia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Trabajo en equipo,Tus compañeros,1,2,3,10,15,Mujer,"Mamá, Abuela, Abuelo, Otros familiares",Escuela Normal Superior Antioquena
10/2/2019 11:06:32,"Es triste que por una nueva administración se estén olvidando las raíces del colegio y todas sus tradiciones, una cosa es innovar y la otra es olvidar una historia de 83 años de excelencia académica y en valores.",#identidadnormalista,Rabia,Todo el tiempo,Te confundiste y no sabías que contar,Administración de la institución,Tus docentes,2,3,3,10,15,Mujer,"Papá, Mamá",Escuela Normal Superior Antioquena
10/2/2019 11:06:57,"había una vez una niña que estaba buscando un colegio en el cual se pudiera adaptar, de todas sus opciones no encontraba ninguno que le llamara la atención, pero una de sus amigas, le hablo de un colegio en especifico y se lo describió bastante bien. aquella niña se intereso por ese lugar descrito por su amiga, y fue a inscribirse para comenzar a estudiar en este.
el primer día en el que la niña piso por primera vez el colegio, estaba sorprendida de la armonía y el ambiente de acogida que se sentía al haber llegado a aquella institución , sus espacios eran hermosos y el colegio para la concepción de ella era bastante grande, no solo por los metros que ocupa en ese espacian en el que estaba ubicado sino que también lo hacia un colegio grande sus valores y la educación que allí se veían presentes en cada persona.
a medida de que el tiempo paso logro ver que sus espacios inspiraban el aprendizaje que allí se quería transmitir y se veía inculcado en ese lugar una historia muy grande  de generaciones que pasaron lo mismo que ella al entrar a ese lugar, generaciones que de seguro recuerdan  a este colegio y lo guardan en su corazón.  
pasarse a ese colegio, para la niña esa fue su mayor elección y el mejor aporte para su vida.",#MICOLEGIOENELALMA ,Felicidad,De vez en cuando,Reflexionaste y aprendiste algo nuevo,Convivencia,A ti,1,3,3,10,15,Mujer,"Papá, Mamá",Escuela Normal Superior Antioquena
10/2/2019 11:06:58,"Cada una llega con su bolso, sus carteleras pero ¿que se guarda en ese bolso?algunas llegan sin comida, otras cargando cada día con un problema distinto, otras llegan preocupadas porque no les gusta matemáticas ni física y aun así son obligadas a verlas o les va bien mal como a mi.
sin embargo todas plasman una sonrisa a sus maestros pero en el fondo están destruidas. 
pasa muy rápido el tiempo y algunas arreglan sus situaciones de tristezas otras siguen igual pero queriendo morir porque ya se va acabar el año y tienes que sacar una nota superior para no quedarte  en depresión una semana de recuperación en donde se ven caras que hablan de la preocupación que sienten porque de pronto no pasan a el grado siguiente .
sin embargo los colegios deberían ser un lugar de alegría y diversión algunos países están triunfando porque cambiaron la metodología tradicional que simplemente aplasta los sueños de niños y adolescentes que quieren salir a mostrar al mundo de lo que son capaces , se supone que hemos evolucionado pero creen que esto es evolución 
todo esta en constante evolución como la tecnología, la química, la física pero porque NUESTRO SISTEMA EDUCATIVO NO CAMBIA YA ES HORA DE CREAR UNA EDUCACIÓN DONDE NOS EDUQUEN PARA CUMPLIR NUESTROS SUEÑOS NO PARA ENCAJAR EN UNA SOCIEDAD porque el que sigue el montón nunca va salir de su zona de confort y seguirán creando robots en vez de personas integras llenas de sueños que van alcanzar. 
esta sociedad necesita mas que robots necesita personas que cambien el mundo. 
EN DONDE NO SE CALIFIQUE AL ESTUDIANTE POR SU PROMEDIO SINO POR SU SER ( YO SOY)",#NOMASMETODOLOGIATRADICIONAL,Rabia,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Mi rabia así la metodología tradicional ,A ti,3,3,3,10,15,Mujer,"Papá, Mamá",Escuela Normal Superior Antioquena
10/2/2019 11:07:09,"Algo que me disgusta del colegio es que no dejen desarrollar la personalidad de cada uno de los estudiante, que siempre los quieren cohibir a que realicen cambios estéticos, que todos deban de ser iguales. un aspecto que deben de aprender a aceptar es que no todos somos iguales y tenemos el derecho a ser libres y a poder tomar la decisión de pintarse el pelo, hacerse un piercing etc... sin sentirse mal porque no lo van a incluir, aceptar o respetar. 
y por otro lado que nos estén ""retacando"" que debemos de sacar buenas notas, que solo les importa lo superficial, no si en realidad lo aprendimos para la vida. ",desarrollo de personalidad ,Angustia,De vez en cuando,Te confundiste y no sabías que contar,Ninguna de las anteriores,Tus docentes,2,1,1,10,15,Mujer,Mamá,Escuela Normal Superior Antioquena
10/2/2019 11:07:39,"En mi colegio se vive la alegría, el compañerismo y acogida, siempre es grato entrar a mi segundo hogar...aunque claro es obvio que no todo es color de rosa hay días no tan buenos pero estoy segura que con dialogo y amor ese día se tornará de nuevo con color. La ENSA es y ha sido la base de mi vida, me forma con valores para ser cada día mejor.

Sé que nunca olvidaré aquellos descansos, aulas de clases, pasillos, patios y paredes que me han hecho sonreír y divertirme como si el tiempo no pasará. Lo que más me encanta de este hermoso lugar son las personas a mi alrededor que siempre están para darme un ""buenos días"" ""como estas"" o uno que otro consejo que de seguro será demasiado útil en el día de mañana. 

Lo único que me incomoda un poco es que se a dejado a un lado todas aquellas tradiciones artísticas que llevábamos desde siempre como los increibles bailes y fiestas a final del año. ",ENSA ,Felicidad,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Convivencia,Tus compañeros,1,2,3,10,16,Mujer,"Papá, Mamá, Hermanos",Escuela Normal Superior Antioquena
10/2/2019 11:08:31,"La Normal es un entorno afectivo donde diariamente convivimos todos de manera acogedora, vivenciamos en los patios, corredores y canchas experiencias que nos llenan de enseñanza y paz. Los directivos, los alumnos y todo el personal tanto femenino como masculino que se encuentra en la institución son personas que dejan huella, con sus palabras, sus reflexiones y sus acciones en el diario vivir haciendo de la normal una familia, una familia de la que lentamente nos debemos despegar, y que es tal cual una familia, con cosas que nos desaniman y nos deprimen, así como cuando se rompieron y alteraron ciertas tradiciones normalistas o cuando hay demasiada carga académica sobre nuestros hombros, pero también con cosas que hacen de este lugar uno de mis lugares favoritos. Si  tuviese que hablar de las cosas que me motivan y desmotivan, son más las cosas motivadoras que tendría que aportar, la normal te ayuda a crecer como persona, a valorarte, a apreciar a los demás, a reconocer tus errores y encontrar manera de enmendarlos, la normal te da un abrigo cuando hace frío, un amigo cuando todos se van, una esperanza cuando no ves luz después del túnel, La normal es más que un colegio, es un hogar, una familia, la normal somos todos los que construimos en esta institución nuestro propio ser.

Pero espero con mucha esperanza que nuestra normal, para el año 2020 vuelva, con nuevos objetivos y una mirada más allá de los límites, que renueven las tradiciones porque es algo que jamás se debe romper, que las preparaciones de todo sean planificadas con tiempo de anticipación, porque como normalista duele, duele llevar años muchos años en la normal y ver como ahora, sí, el entorno sigue siendo el mismo, pero lo que hacía única a la normal se está tirando por la borda, y se está destruyendo todo eso que hacía a la normal un lugar donde todos sentiamos más allá del solo estudiar.",Mi Normal en breves palabras con la propuesta de Mejorar,No estás seguro,Todo el tiempo,Reflexionaste y aprendiste algo nuevo,Una incentivación con aires de mejora. ,Tus docentes,2,3,3,10,14,Mujer,"Papá, Mamá, Hermanos",Escuela Normal Superior Antioquena
